Order Date - Year-Month,Bookcases,Chairs,Furnishings,Tables,Appliances,Art,Binders,Envelopes,Fasteners,Labels,Paper,Storage,Supplies,Accessories,Copiers,Machines,Phones
2022-Jan,-919.6,12880.8,69.3,-164.12,-88.18,-149.3,-214.25,-171.23,-4.9,-78.81,-152.9,4393.52,120.0,2033.9,160.0,45.0,1186.32
2022-Feb,160.0,220.00000000000003,-211.2,2908.63,-52.04,189.63,-218.32,120.0,-35.32,-91.75,-218.96,74.7,148.08,1764.54,45.0,80.0,254.02
2022-Mar,2535.5,1478.4,-480.0,2693.07,-144.21,-749.29,-319.93,-365.41,-54.08,-57.15,408.22,134.71,-10.43,285.51,110.00000000000001,-6540.48,10680.35
2022-Apr,43.81,1632.41,678.2,402.17,354.05,-12.03,-2008.28,876.03,-247.84,-171.75,6.26,5341.77,9095.15,1552.22,240.0,67.64,7012.02
2022-May,98.95,3126.41,-8.35,205.62,17.68,70.37,9017.79,30.56,-104.25,-233.53,-587.9,-156.22,-106.82,40.31,-1992.02,80.0,1489.33
2022-Jun,95.52,3456.83,-153.3,10089.29,2815.04,-211.96,-924.78,-29.38,-74.86,475.04,-509.56,2997.39,-83.48,275.29,220.00000000000003,-159.09,9352.9
2022-Jul,-755.07,64.14,1172.16,982.96,-154.94,-203.58,-9973.72,-275.42,-131.33,1008.98,173.95,1672.71,16727.3,2449.01,-56.74,240.0,584.33
2022-Aug,2905.88,4127.82,473.28,-1956.48,1158.13,-135.06,-2896.27,118.71,-193.9,-109.28,2983.54,593.4,388.18,1794.92,226.21,240.0,1726.64
2022-Sep,-537.22,5098.48,-48.46,6048.28,-816.53,431.0,32757.31,-102.5,-307.23,65.01,-553.02,2340.74,492.77,914.69,1379.37,-22609.71,1850.4
2022-Oct,249.24,11840.12,3.66,-4216.48,60.35,532.1,-832.04,-334.22,-228.62,-101.22,-1240.38,2587.33,-7.67,10.25,2888.39,-252.62,4666.86
2022-Nov,5184.59,1287.36,1223.35,-2699.44,1627.34,-682.86,1603.2,-116.1,-211.6,574.63,4582.03,15368.0,-305.74,2950.38,110.00000000000001,1189.89,4667.89
2022-Dec,3709.82,24691.34,-1686.89,14456.43,2202.42,-462.36,-4279.17,-181.91,-237.0,185.63,-25.28,6052.61,-122.1,2343.03,-1610.22,17418.18,1220.52
2023-Jan,-1834.19,-240.57,842.98,8437.0,436.62,-108.83,-99.03,-29.6,240.0,-57.66,414.55,822.71,-125.4,531.86,60.0,-8554.22,-866.14
2023-Feb,320.71,3601.45,-77.29,-289.18,30.88,218.96,2676.02,499.73,-66.09,-101.86,-73.37,128.93,55.00000000000001,1811.6,60.0,40.0,557.62
2023-Mar,551.38,1618.9,616.64,8864.7,-197.21,-200.13,12171.85,14.45,-88.18,1163.79,1707.82,2486.26,2.98,629.13,3083.54,45.0,-1203.18
2023-Apr,2404.47,1960.83,4887.04,-318.86,4.42,-569.16,849.17,27.69,-161.66,58.05,-433.54,1241.78,-67.06,1263.7,-1374.51,3266.87,1282.41
2023-May,230.99,5747.54,-308.08,22.16,-4446.64,-373.32,-698.49,378.18,-143.74,-186.57,250.68,2507.21,151.18,399.48,-4167.86,5332.42,3873.22
2023-Jun,-205.34,741.66,277.46,-4018.67,-104.24,-171.91,-299.57,-94.8,-61.7,-305.14,-314.94,126.86,220.00000000000003,1638.43,1071.14,60.0,400.07
2023-Jul,994.44,4716.52,-421.9,-1140.67,-277.93,-38.34,-179.46,445.3,-113.45,58.63,-790.57,983.72,20.74,15255.38,110.00000000000001,427.2,2350.7
2023-Aug,508.94,9.17,-393.6,-843.16,609.48,-133.06,638.71,110.00000000000001,-189.23,-212.64,-19.37,8256.69,-164.09,575.25,1067.73,5182.52,9252.47
2023-Sep,-3877.87,5831.95,211.36,2854.91,2421.62,827.79,-5396.89,-384.31,-159.83,-241.54,1744.75,10191.48,-201.4,3654.85,-50.9,643.5,25467.26
2023-Oct,274.31,2474.31,-419.87,-838.22,772.43,-102.99,-220.98,-166.06,-54.31,-298.65,-287.48,763.1,-79.57,1746.96,386.03,20.99,31.47
2023-Nov,9143.66,19442.08,2539.87,1662.53,5361.46,229.98,-5481.22,2.98,-490.01,-134.19,1696.0,5507.37,-111.4,5119.33,559.59,1453.26,-4978.49
2023-Dec,-3190.72,4087.54,1052.82,-554.29,351.21,-309.18,-1917.73,308.78,-212.76,-255.13,371.46,3935.45,-75.3,15032.89,11286.16,-3276.52,5977.22
2024-Jan,3214.92,3060.32,-203.33,1776.68,21.18,-177.34,-578.28,474.4,-16.91,49.59,-299.41,3101.72,240.0,1093.21,-93.0,110.00000000000001,2966.06
2024-Feb,168.08,1563.46,441.34,114.24,1514.28,159.46,-496.54,-151.66,-192.12,-102.14,1234.59,3092.54,-44.28,93.38,80.0,-3298.5,-1132.1
2024-Mar,-24.03,-2509.93,1509.53,-308.55,1354.17,41.52,-1426.69,230.96,-69.96,-18.64,-83.94,1725.02,-3344.96,637.98,80.0,4156.04,-3040.66
2024-Apr,1039.6,-423.35,16.13,-90.91,260.06,-263.71,-6881.47,-115.42,-56.46,-81.14,-829.02,1736.8,635.93,-613.82,-795.65,16332.31,842.59
2024-May,110.00000000000001,674.98,1473.34,9931.59,1144.9,-519.64,-1186.02,22.85,-134.8,-135.08,615.13,4336.38,-15.94,377.94,-12786.79,14737.89,4886.54
2024-Jun,2481.45,-1164.17,-1124.8,-358.91,728.98,-387.07,-1032.69,137.48,-204.66,57.71,27.68,4573.7,983.33,-275.95,90.0,2909.31,3746.9
2024-Jul,2402.94,1295.99,-561.63,4025.48,419.95,-451.97,-6268.76,657.94,14.01,-117.64,395.96,983.48,-162.5,975.38,26.42,-465.52,1382.03
2024-Aug,-190.13,-2069.85,118.68,6509.76,1302.68,-339.33,-1367.4,72.35,-124.73,-105.4,-495.74,1680.82,-334.68,6460.96,110.00000000000001,-554.81,147.04
2024-Sep,-2262.14,4235.0,-1281.53,1061.96,1581.88,-369.45,-12157.58,355.5,-206.14,-502.59,3465.44,6409.25,-136.66,28989.7,8646.95,-108.07,-1127.49
2024-Oct,1052.6,4217.98,-381.03,-359.52,1346.88,-232.09,3833.14,37.91,460.22,-22.38,983.62,4713.53,-106.5,-1227.92,35612.47,-2289.02,4247.16
