Order Date - Year-Month,Bookcases,Chairs,Furnishings,Tables,Appliances,Art,Binders,Envelopes,Fasteners,Labels,Paper,Storage,Supplies,Accessories,Copiers,Machines,Phones
2022-Jan,2431.2,23715.2,2539.2,879.12,989.41,601.89,1321.23,544.35,156.53,82.67,959.28,18363.49,600.0,5646.08,180.0,180.0,13591.66
2022-Feb,240.0,321.6,1392.0,6029.86,183.81,535.51,643.16,110.00000000000001,55.58,133.62,503.94,368.96,572.69,6277.33,450.0,90.0,1288.16
2022-Mar,13550.4,27477.6,972.0,23296.39,1031.66,1183.01,3987.86,1245.56,188.13,570.25,4949.04,18230.08,44.69,4372.19,600.0,81904.69,36200.23
2022-Apr,865.34,8061.26,2908.98,12252.88,1440.46,2627.66,3041.42,2127.13,616.14,216.93,3106.74,18912.88,22911.34,7721.28,450.0,829.35,40026.06
2022-May,2062.81,16852.5,2123.94,5449.77,3251.41,1460.21,28792.93,892.2,30.1,235.26,1852.02,1907.65,341.86,1625.25,6316.66,80.0,20175.23
2022-Jun,2075.6,33978.63,1293.17,32642.18,10376.46,3918.73,10819.72,373.56,158.3,2979.6,3367.03,21495.56,46.33,2702.72,110.00000000000001,709.41,37561.28
2022-Jul,13253.5,15800.49,5442.13,3961.3,115.56,903.87,7792.02,750.92,74.23,2666.03,2976.93,12621.03,32963.06,19278.62,537.59,400.0,9342.35
2022-Aug,7496.21,16817.93,7164.6,8657.9,7095.29,709.12,17327.17,955.79,663.84,169.21,14171.16,8185.38,917.46,10928.55,3772.92,550.0,28198.56
2022-Sep,5056.97,51426.46,13137.38,34029.72,8769.73,4431.68,48721.46,1772.12,521.77,2001.85,4498.49,49584.19,1317.61,11798.83,4859.92,90032.03,17564.45
2022-Oct,2517.35,28133.48,3274.84,20874.56,1938.74,2462.43,920.41,859.92,112.33,381.23,6372.0,10847.41,1137.62,5764.4,8799.82,55.08,41379.39
2022-Nov,53170.82,26662.58,9665.82,16130.81,10729.58,1958.54,11755.99,6625.83,278.94,2583.95,17868.26,59893.16,1261.74,16143.09,450.0,14896.81,80043.86
2022-Dec,16417.58,83703.44,7093.66,51048.0,14527.97,7658.12,11701.66,1972.76,306.31,2907.71,9156.89,27202.23,392.27,24555.27,2707.14,38023.21,21038.7
2023-Jan,8467.02,9662.22,10614.95,32433.1,1115.93,353.66,560.48,27.97,120.0,95.45,2353.3,1409.92,455.47,1928.91,90.0,6252.43,1959.84
2023-Feb,1249.25,12055.54,700.82,1958.91,3068.93,2722.6,4439.86,2671.72,4.65,805.74,714.16,2123.05,180.0,7712.43,160.0,240.0,3762.4
2023-Mar,10356.02,14239.71,9489.94,32841.55,4437.17,228.86,33108.61,910.43,280.53,3082.21,10587.6,13331.47,106.75,4890.89,28609.78,220.00000000000003,18248.89
2023-Apr,5031.42,11001.55,12258.57,4071.59,12375.58,1365.94,10634.28,485.52,133.69,694.77,1356.12,11052.48,24.44,5323.2,8641.34,8969.68,20500.94
2023-May,13216.87,28208.52,6215.8,307.45,14934.95,2738.3,1310.11,2110.75,141.59,1209.08,6961.72,11741.79,1651.54,3420.45,14111.72,20556.05,20456.75
2023-Jun,1159.06,18241.49,8243.78,3344.99,62.98,1559.26,15978.37,511.21,43.36,238.5,2910.52,9979.85,160.0,5753.09,3239.89,550.0,11040.91
2023-Jul,8903.9,27289.77,6012.23,5802.96,202.0,890.4,5685.41,3524.8,191.73,1061.81,1606.82,5362.34,173.55,28249.33,110.00000000000001,1534.4,14678.56
2023-Aug,15655.84,3386.18,2002.42,12768.94,4182.86,2740.46,6456.64,110.00000000000001,98.06,402.31,4875.6,30464.01,208.86,4759.82,10079.86,20726.44,32904.85
2023-Sep,47205.27,40075.56,6218.98,9752.12,6641.65,5648.98,8642.18,2609.3,208.02,830.68,13695.68,41412.43,1814.02,30908.81,2969.54,3968.56,50860.42
